Daytime/evening attendance,Previous qualification (grade),Mother's qualification,Father's qualification,Admission grade,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,4.818,1,1,5.109,0,0,1,1,0,1,0,0,6,7,5,6.6,0,6,6,5,5.9,1
1,3.818,3,3,3.436,0,0,0,1,0,1,0,0,5,0,0,0.0,0,5,0,0,0.0,0
1,3.727,1,3,3.855,0,1,0,1,0,1,0,0,6,6,0,0.0,0,6,0,0,0.0,0
1,5.364,1,1,3.573,0,0,1,1,0,1,0,0,8,8,7,6.55,0,8,8,7,6.55,1
1,3.091,3,3,3.218,0,0,1,1,0,1,0,0,6,6,6,6.75,0,6,6,6,6.583,1
1,4.545,2,3,3.818,0,0,1,1,0,1,0,0,6,10,5,5.786,0,6,10,3,6.5,0
1,7.273,2,2,7.273,0,1,1,1,0,1,0,0,6,7,6,7.643,0,6,6,6,7.583,1
1,3.273,1,1,2.318,0,0,1,1,0,1,0,0,7,11,6,6.717,0,7,10,4,6.8,1
1,3.545,2,2,3.418,0,0,1,1,0,1,0,0,5,8,5,5.8,0,5,9,3,5.5,0
1,4.545,2,1,4.545,0,0,1,1,0,2,0,0,6,6,6,7.333,0,6,6,6,6.75,1
1,3.636,3,1,2.745,0,0,1,1,0,1,0,0,6,9,6,7.333,0,6,12,6,7.333,1
1,3.636,1,1,5.455,0,0,1,1,0,2,0,0,8,8,7,6.371,0,8,8,7,6.371,1
1,0.818,1,1,0.909,0,0,1,1,0,1,0,0,7,9,7,5.987,0,8,9,7,6.564,1
1,3.545,3,3,3.455,0,0,0,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0
1,3.818,2,2,3.455,0,0,1,1,1,1,0,0,8,8,7,7.468,0,8,8,7,7.468,1
1,1.818,3,3,1.564,0,0,1,1,0,1,0,1,6,16,2,5.25,0,6,15,4,5.0,0
1,2.364,1,1,1.827,0,0,1,1,0,1,0,0,6,9,5,6.667,0,6,6,5,6.5,1
1,2.636,3,3,2.636,0,1,1,1,0,2,0,0,6,6,0,0.0,0,6,8,0,0.0,0
1,2.727,3,3,5.955,0,0,1,1,0,3,0,0,6,12,5,6.9,0,6,13,4,7.0,0
1,2.455,1,1,2.582,0,0,1,1,0,1,0,0,6,6,6,5.917,0,6,8,4,5.375,1
1,4.273,1,3,4.655,0,0,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,3.091,1,1,2.645,0,0,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0
1,5.545,1,1,1.909,0,0,1,1,0,2,0,0,5,9,2,5.0,0,5,9,0,0.0,0
1,4.418,3,3,4.418,0,0,1,1,0,1,0,0,6,10,4,5.75,0,6,11,3,5.833,0
1,4.182,2,2,5.491,0,0,1,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,3.918,3,3,1.136,0,1,0,1,0,2,0,0,6,7,0,0.0,0,6,7,0,0.0,0
1,5.455,1,1,2.936,0,0,1,1,0,2,0,0,6,10,6,6.5,0,6,8,5,6.1,1
1,3.909,3,3,3.309,0,0,1,1,1,1,0,0,7,7,7,6.731,0,8,8,8,6.953,1
1,3.918,3,3,0.909,0,0,1,1,0,3,0,0,6,13,3,5.0,0,6,15,1,5.0,0
1,3.545,3,3,2.464,0,0,1,1,0,1,0,0,6,6,6,6.167,0,6,7,6,6.833,1
1,3.636,3,2,3.582,0,1,0,1,0,2,0,0,5,6,0,0.0,0,5,7,0,0.0,0
1,4.636,1,1,4.445,0,0,1,1,0,1,0,0,5,5,5,6.8,0,5,6,4,6.625,1
1,4.545,1,1,4.418,0,0,1,1,0,1,0,3,6,7,6,6.167,2,6,6,2,7.0,0
1,2.909,2,3,3.991,0,0,1,1,0,2,0,9,13,16,10,5.727,5,11,13,7,6.125,0
1,4.545,1,1,4.545,0,1,1,1,0,2,0,8,13,13,8,6.75,5,11,12,5,7.2,0
1,3.918,3,3,0.464,0,0,0,1,0,3,0,0,5,5,0,0.0,0,5,6,0,0.0,0
0,2.727,2,3,3.473,0,0,0,1,0,2,0,0,5,5,2,5.5,0,5,0,0,0.0,0
1,3.918,3,3,2.864,0,0,1,1,0,3,0,0,6,9,6,6.857,0,6,13,5,7.167,0
1,2.727,3,3,2.727,0,1,0,1,0,2,0,18,21,26,21,6.182,12,16,21,12,6.125,0
1,2.727,1,1,2.727,0,0,1,1,0,2,0,0,6,9,2,6.0,0,6,10,3,6.333,0
0,3.918,3,3,1.545,0,0,1,1,0,3,0,1,7,7,7,6.429,0,6,6,6,6.583,1
1,3.0,1,1,2.218,0,0,1,1,0,1,0,0,5,6,0,0.0,0,5,8,2,5.75,0
1,8.0,1,1,6.155,0,0,1,1,0,2,0,0,6,13,2,6.75,0,6,6,0,0.0,0
1,3.636,3,3,5.455,0,1,0,1,0,2,0,5,11,14,11,7.545,5,10,11,10,7.5,0
1,4.545,3,3,4.545,0,0,1,1,0,3,0,2,6,8,2,6.75,1,6,9,1,6.5,0
1,1.636,1,1,1.736,0,0,1,1,0,1,0,0,5,5,0,0.0,0,5,5,0,0.0,0
1,2.727,1,1,2.782,0,0,1,1,0,1,0,0,7,12,4,6.325,0,7,10,3,5.333,0
0,0.909,3,3,6.536,0,0,1,1,0,3,0,0,5,7,0,0.0,0,5,7,0,0.0,0
0,4.545,3,3,4.545,0,0,0,1,0,2,0,0,5,5,0,0.0,0,5,5,0,0.0,0
1,3.918,3,3,8.0,0,0,1,1,1,2,0,0,6,8,6,6.667,0,6,7,5,6.4,1
0,3.918,3,1,4.391,0,0,1,1,0,3,0,0,5,9,3,5.667,0,5,8,5,5.571,0
0,4.545,3,3,3.455,0,0,1,1,0,3,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,0.909,3,3,4.455,0,0,1,1,0,3,0,0,0,0,0,0.0,0,0,0,0,0.0,0
0,3.0,1,1,2.109,0,0,0,1,0,1,0,0,5,7,3,5.833,0,5,8,2,5.25,0
0,3.918,3,3,4.455,0,0,1,1,0,3,0,0,6,8,6,6.083,0,6,8,6,7.214,1
1,4.091,1,3,1.818,0,0,1,1,0,2,0,0,6,7,6,6.667,0,6,6,4,6.375,1
0,2.727,3,3,6.464,0,0,1,1,0,3,0,0,6,9,6,6.071,0,6,6,0,0.0,0
1,3.636,1,1,3.636,0,0,1,1,0,2,0,9,18,36,17,6.529,6,12,15,12,6.154,1
1,3.918,3,1,2.818,0,1,0,1,0,1,0,0,6,9,5,5.917,0,6,8,5,5.0,0
1,2.727,1,1,2.6,0,0,1,1,0,1,0,9,11,14,10,6.2,6,10,13,10,5.9,1
1,3.918,3,3,2.345,0,0,0,1,0,3,0,0,5,5,0,0.0,0,5,9,0,0.0,0
0,2.727,2,3,6.364,0,0,1,1,0,3,0,0,5,5,5,5.5,0,5,5,5,6.7,1
1,3.182,1,1,2.227,0,0,1,1,1,1,0,0,6,8,6,6.812,0,6,8,6,7.214,1
0,3.918,1,3,2.882,0,0,1,1,0,2,0,0,5,5,0,0.0,0,5,7,0,0.0,0
1,2.727,1,1,2.273,0,0,1,1,0,2,0,1,6,9,2,7.5,1,6,7,2,6.75,0
1,3.364,3,3,3.209,0,0,1,1,0,1,0,0,6,9,5,5.4,0,6,11,5,5.5,1
1,3.727,3,3,3.727,0,0,1,1,0,1,0,0,5,11,3,6.833,0,5,10,3,5.667,0
1,3.364,2,3,3.3,0,0,1,1,0,1,0,0,6,8,6,6.417,0,6,8,6,6.667,1
1,3.818,1,3,3.373,0,0,0,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0
1,4.273,1,3,4.4,0,0,1,1,0,1,0,0,6,8,6,7.562,0,6,7,6,6.714,1
1,3.273,1,2,0.909,0,0,1,1,0,1,0,0,5,11,0,0.0,0,5,7,1,5.0,0
1,4.182,1,1,3.291,0,0,1,1,0,1,0,0,6,10,5,5.7,0,6,8,5,5.5,1
1,3.091,1,1,2.618,0,0,1,1,0,1,0,0,6,12,4,6.125,0,6,9,6,5.5,1
1,4.273,1,1,3.136,0,0,0,1,0,2,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,3.918,1,2,0.455,0,0,1,1,0,1,0,0,5,14,0,0.0,0,5,5,0,0.0,0
1,4.545,1,3,4.545,0,0,0,1,0,1,0,2,5,7,2,6.5,0,5,5,0,0.0,0
0,3.918,1,1,3.218,0,0,1,1,0,3,0,0,2,5,0,0.0,0,4,4,0,0.0,0
1,4.636,2,1,3.455,0,0,1,1,0,1,0,0,8,8,0,0.0,0,8,8,0,0.0,0
1,3.636,1,3,3.573,0,0,1,1,1,1,0,0,5,5,5,6.5,0,5,5,5,7.1,1
1,6.364,2,3,5.636,0,0,1,1,1,1,0,0,6,7,6,6.929,0,6,6,6,7.0,1
1,4.545,1,2,3.527,0,0,1,1,0,1,0,0,7,7,6,6.696,0,8,8,8,6.244,1
1,5.455,3,2,5.709,0,0,1,1,1,1,0,0,5,7,4,6.375,0,5,5,0,0.0,0
1,5.455,3,3,5.455,0,0,1,1,0,1,0,0,5,7,4,7.25,0,5,5,5,7.3,1
1,3.918,1,1,2.0,0,0,1,1,0,1,0,0,6,7,6,6.083,0,6,6,6,6.083,1
1,5.636,2,3,4.145,0,0,1,1,0,1,0,0,5,5,5,7.7,0,5,5,5,7.8,0
1,3.918,1,1,4.036,0,1,0,1,0,2,0,0,5,9,2,6.667,0,5,9,2,8.0,0
0,3.636,1,1,2.773,0,0,1,1,0,2,0,0,5,5,0,0.0,0,5,5,0,0.0,0
1,5.273,1,1,4.673,0,0,1,1,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,5.273,1,1,5.018,0,0,1,1,0,1,0,0,6,7,6,6.857,0,6,8,6,7.357,1
1,3.636,2,1,4.545,0,0,1,1,0,3,0,0,6,7,4,6.125,0,6,7,0,0.0,0
0,3.636,3,3,4.545,0,0,1,1,0,2,0,0,5,8,1,5.5,0,5,5,1,6.5,0
1,2.909,1,1,2.055,0,0,1,1,0,1,0,0,6,9,6,5.083,0,6,10,6,5.25,1
1,1.818,3,3,1.527,0,0,1,1,0,2,0,0,5,8,1,5.0,0,5,9,0,0.0,0
0,1.818,3,3,2.727,0,0,0,1,0,3,0,0,5,10,2,5.25,0,5,5,3,5.333,0
1,7.273,3,2,6.418,0,0,1,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,1.818,3,3,3.636,0,1,0,1,1,3,0,0,6,6,0,0.0,0,6,6,0,0.0,0
0,1.818,3,3,1.818,0,0,1,1,0,3,0,0,6,12,0,0.0,0,5,10,0,0.0,0
1,3.918,2,3,1.818,0,0,1,1,0,2,0,0,6,8,0,0.0,0,6,10,0,0.0,0
1,3.918,1,2,5.073,0,0,1,1,0,2,0,0,6,15,5,6.667,0,6,15,5,6.2,1
1,3.273,1,1,3.655,0,0,1,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0
1,4.273,3,3,2.936,0,0,1,1,1,1,0,0,6,7,6,6.786,0,6,6,6,7.167,1
1,2.455,1,1,3.218,0,0,1,1,1,1,0,0,6,6,6,6.417,0,6,7,6,5.583,1
0,0.909,3,2,3.636,0,0,1,1,0,3,0,1,5,6,4,5.125,3,8,18,5,5.6,0
1,2.727,1,3,5.455,0,0,1,1,0,2,0,0,6,6,0,0.0,0,6,6,0,0.0,0
1,3.273,3,3,2.445,0,1,1,1,0,1,0,0,5,5,4,7.25,0,6,8,3,6.667,0
1,1.909,3,3,0.527,0,0,0,1,0,3,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,5.455,1,1,5.455,0,0,1,1,0,2,0,16,18,22,18,5.833,12,13,13,12,5.75,1
0,2.364,3,2,2.591,0,0,1,1,0,2,0,0,5,6,4,6.5,0,5,5,5,6.5,1
1,3.636,1,1,3.736,0,0,1,1,0,1,0,0,7,8,7,6.061,0,9,12,8,5.753,1
1,5.455,1,2,5.482,0,0,1,1,1,1,0,7,11,15,9,7.111,4,9,15,7,6.875,1
1,1.636,1,1,1.418,0,0,1,1,0,1,0,0,5,7,5,6.083,0,5,7,5,7.643,1
1,3.918,2,2,3.209,1,0,1,1,1,2,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,2.727,3,2,3.727,0,0,1,1,0,3,0,0,6,6,6,6.333,0,6,6,6,5.75,1
1,5.091,2,1,3.364,0,0,1,1,0,1,0,0,8,8,7,6.807,0,8,8,7,6.807,1
1,5.455,1,1,5.455,0,0,1,1,0,1,0,11,18,32,12,6.429,8,12,15,10,7.15,1
1,6.364,1,1,5.382,0,0,1,1,0,1,0,0,5,7,4,7.0,0,5,5,5,7.1,1
1,3.182,3,3,2.864,0,0,1,1,1,1,0,0,6,8,4,7.375,0,6,6,5,5.9,1
1,3.182,3,2,4.3,0,0,1,1,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,2.909,1,1,2.691,0,0,1,1,0,1,0,0,6,8,6,6.812,0,6,7,6,7.143,1
1,4.364,1,1,4.682,0,0,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,5.455,1,3,5.455,0,0,1,1,0,1,0,0,6,12,4,5.9,0,6,11,4,5.938,0
1,4.545,1,1,1.818,0,0,1,1,0,2,0,0,6,8,6,7.562,0,6,10,6,7.3,1
1,2.091,1,1,1.836,0,0,1,1,0,1,0,0,6,10,4,5.75,0,6,10,2,5.25,0
1,3.918,2,1,2.727,0,0,1,1,0,2,0,0,4,8,0,0.0,0,5,10,0,0.0,0
1,2.545,2,2,2.2,0,0,1,1,0,1,0,0,5,9,3,5.167,0,5,6,5,6.4,1
1,3.182,1,1,2.864,0,0,1,1,0,1,0,0,6,6,6,6.917,0,6,6,6,7.25,1
1,3.727,2,2,3.473,0,0,1,1,0,1,0,0,6,7,6,7.0,0,6,8,6,6.833,1
1,3.918,1,2,2.727,0,0,1,1,0,2,0,0,5,11,1,9.0,0,5,10,3,6.667,0
1,4.455,2,1,4.264,0,0,1,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,0.455,3,3,0.455,0,0,0,1,0,1,0,0,6,9,4,6.625,0,6,6,5,5.5,0
1,5.455,3,1,5.345,0,0,1,1,1,2,0,0,5,7,4,7.125,0,5,7,4,7.375,1
1,2.727,3,3,1.818,0,0,0,1,0,2,0,0,5,9,0,0.0,0,5,5,0,0.0,0
0,4.182,1,1,3.991,0,0,0,1,0,2,0,8,12,12,8,5.625,3,8,8,3,5.667,0
1,3.909,1,3,3.245,0,0,1,1,1,1,0,0,6,7,6,6.75,0,6,8,6,6.25,1
1,3.182,1,2,2.418,0,0,1,1,1,1,0,0,6,8,5,6.333,0,6,10,6,6.429,1
1,3.364,2,3,4.636,0,0,1,1,1,1,0,0,6,6,6,7.583,0,6,6,6,6.167,1
1,3.636,1,1,3.636,0,0,1,1,0,2,0,4,6,6,6,6.583,2,5,7,5,7.571,0
1,4.545,2,3,4.545,0,0,1,1,0,1,0,0,6,6,6,7.25,0,6,8,6,5.667,1
1,4.091,1,3,4.318,0,1,0,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,3.818,3,2,2.8,0,0,1,1,1,1,0,0,5,8,4,5.4,0,5,10,2,6.25,0
1,1.818,2,1,4.227,0,0,1,1,0,2,0,0,5,6,0,0.0,0,5,5,0,0.0,0
1,3.636,1,3,2.909,0,1,0,1,0,2,0,3,10,23,6,5.714,2,7,15,4,6.0,0
1,3.636,3,1,3.636,0,0,1,1,0,2,0,8,14,24,8,6.25,6,13,23,10,5.8,0
1,3.918,1,2,0.727,0,0,1,1,0,2,0,0,6,6,0,0.0,0,6,12,0,0.0,0
1,4.091,3,3,2.818,0,0,1,1,1,1,0,0,5,8,5,6.375,0,5,7,5,5.75,1
1,4.545,1,1,3.636,0,0,1,1,0,2,0,0,6,8,0,0.0,0,6,10,0,0.0,0
1,3.727,1,2,3.891,0,0,1,1,0,1,0,0,6,7,6,7.214,0,6,7,6,7.286,1
1,3.727,1,1,3.3,0,0,1,1,0,1,0,0,7,9,7,6.246,0,8,10,8,5.856,1
0,0.909,1,3,1.955,0,0,1,1,0,3,0,2,8,10,4,5.75,2,8,13,4,5.5,0
0,4.545,3,3,2.564,0,0,1,1,0,3,0,0,5,7,5,5.6,0,5,6,5,6.4,1
1,3.091,2,2,2.327,0,0,0,1,0,1,0,0,5,9,3,6.0,0,5,7,3,5.5,0
1,3.636,3,3,2.527,0,0,1,1,0,1,0,0,8,8,7,7.943,0,8,8,7,7.943,1
1,4.727,1,3,3.364,0,1,0,1,0,1,0,0,7,12,4,6.47,0,7,12,4,5.79,0
0,5.455,3,3,4.545,0,0,0,1,0,2,0,0,6,6,6,7.0,0,6,6,6,7.083,1
1,1.818,3,3,1.455,0,0,1,1,0,3,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,1.818,3,3,5.545,0,1,0,1,0,3,0,0,7,7,0,0.0,0,8,8,0,0.0,0
0,2.0,3,3,1.491,0,0,1,1,0,1,0,0,5,0,0,0.0,0,5,0,0,0.0,0
0,0.909,3,3,3.209,0,0,1,1,0,3,0,0,5,8,4,5.625,0,5,8,3,5.5,0
1,3.636,3,3,3.636,0,0,1,1,0,2,0,0,5,5,0,0.0,0,5,6,0,0.0,0
0,3.918,3,3,2.364,0,0,0,0,0,3,0,0,6,13,4,5.625,0,6,12,0,0.0,0
0,0.909,3,3,0.909,0,0,1,0,0,3,0,0,6,9,5,5.9,1,6,10,3,5.333,1
1,3.636,3,3,2.591,0,0,1,1,0,2,0,5,10,19,8,5.812,4,10,16,10,5.591,1
1,3.545,3,2,2.627,0,0,1,1,0,1,0,0,6,11,0,0.0,0,5,10,0,0.0,0
1,3.364,3,3,2.664,1,0,1,1,1,2,0,0,6,8,4,5.125,0,6,6,4,5.625,0
0,4.545,3,3,4.164,0,0,1,1,0,2,0,14,15,16,15,5.4,13,14,14,14,5.679,1
1,3.636,1,2,3.636,0,0,0,1,1,1,0,5,12,15,11,6.273,4,11,16,11,6.333,1
1,4.545,3,3,5.455,0,0,1,1,0,3,0,0,6,0,0,0.0,0,6,0,0,0.0,0
0,3.918,3,3,1.991,0,0,1,1,0,3,0,0,5,5,0,0.0,0,5,5,0,0.0,0
1,2.727,3,3,5.464,0,0,1,1,0,3,0,0,6,9,6,7.389,0,6,11,5,6.1,1
1,3.918,1,3,3.636,0,0,1,1,0,2,0,0,3,4,0,0.0,0,4,8,0,0.0,0
1,2.727,3,3,3.455,0,0,1,1,0,2,0,0,2,2,0,0.0,0,2,2,0,0.0,0
1,3.918,2,3,1.136,0,0,0,1,0,2,0,0,4,4,0,0.0,0,5,0,0,0.0,0
0,3.918,2,3,1.136,0,0,0,1,0,2,0,0,5,10,0,0.0,0,5,5,0,0.0,0
1,0.909,3,3,1.818,0,0,1,1,1,3,0,0,5,5,5,5.7,0,5,7,5,5.8,1
1,3.918,1,2,2.182,0,0,1,1,0,2,0,3,9,13,6,5.833,2,7,10,6,5.429,0
1,2.727,3,3,3.473,0,0,1,1,0,2,0,6,10,12,7,5.643,2,8,8,5,6.5,0
1,3.455,3,3,2.409,0,0,1,1,1,1,0,0,6,12,4,5.75,0,6,10,5,6.3,1
0,7.455,3,3,5.391,0,0,1,1,1,2,0,0,5,5,5,8.0,0,5,5,5,8.0,1
1,5.091,3,3,4.009,0,0,1,1,1,1,0,0,6,6,6,6.25,0,6,7,6,6.333,0
1,5.455,3,3,3.955,0,0,1,1,0,1,0,0,5,10,5,6.5,0,5,10,5,6.3,1
1,3.636,1,1,1.818,0,0,1,1,0,2,0,8,18,27,13,6.857,7,12,18,12,6.042,1
1,1.909,3,3,1.591,0,0,1,1,1,1,0,0,5,9,3,6.167,0,6,14,3,6.25,0
1,3.636,1,3,3.636,0,0,0,1,0,2,0,11,17,31,11,6.364,10,12,24,10,6.35,0
1,7.273,3,3,1.964,0,0,1,1,0,2,0,1,5,5,1,7.0,0,5,5,0,0.0,0
1,3.918,1,3,1.0,0,0,0,1,0,2,0,0,5,0,0,0.0,0,5,0,0,0.0,0
1,2.727,3,3,3.473,0,0,1,1,0,2,0,0,5,5,0,0.0,0,5,5,1,5.0,0
1,1.818,1,2,5.455,0,0,1,1,0,2,0,0,6,8,6,9.438,6,12,14,12,8.846,1
1,3.918,3,3,4.8,0,0,1,1,0,1,0,0,6,12,0,0.0,0,6,12,0,0.0,0
0,5.455,3,3,5.455,0,0,1,1,0,3,0,3,7,9,7,6.75,0,5,6,5,8.1,0
1,3.918,3,2,6.045,0,0,1,1,0,3,0,7,11,12,2,7.5,4,9,10,3,5.0,1
1,2.727,3,3,0.782,0,1,0,1,0,2,0,0,5,10,0,0.0,0,5,7,0,0.0,0
0,3.636,3,3,3.636,0,0,1,1,0,2,0,9,9,9,9,7.111,5,5,5,5,6.4,0
1,0.909,1,1,2.727,0,1,0,1,0,3,0,2,7,14,4,6.0,0,6,16,0,0.0,0
1,4.727,1,1,3.427,0,0,1,1,0,1,0,0,5,9,5,6.3,0,5,8,4,6.0,1
1,5.273,1,2,5.245,0,0,1,1,1,1,0,0,5,5,0,0.0,0,5,5,0,0.0,0
1,7.273,2,2,7.273,0,0,1,1,0,1,0,0,6,8,6,7.25,0,6,10,6,7.65,1
1,1.818,3,3,1.836,0,0,1,1,0,3,0,0,6,6,6,7.25,0,6,6,6,6.75,1
1,4.091,2,2,2.818,0,0,1,1,0,1,0,0,5,0,0,0.0,0,5,0,0,0.0,0
1,3.909,2,3,3.627,0,0,1,1,0,1,0,0,5,5,5,5.8,0,5,5,5,6.6,1
1,3.918,3,3,3.818,0,0,1,1,0,3,0,0,6,10,4,5.875,0,6,7,0,0.0,0
1,2.818,2,2,3.264,0,0,1,1,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,6.273,1,1,6.882,0,0,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0
1,3.636,3,3,2.973,0,1,1,1,1,1,0,0,6,7,0,0.0,0,6,6,0,0.0,0
0,2.818,3,2,4.673,0,1,0,1,0,2,0,0,5,7,4,5.625,0,5,8,4,5.9,0
1,3.918,3,3,6.036,0,1,1,1,0,3,0,0,6,9,5,5.786,0,6,11,0,0.0,0
1,3.182,3,3,3.791,0,0,1,1,0,1,0,3,6,6,4,6.375,3,9,12,3,6.333,0
1,2.727,3,3,1.336,0,0,1,1,0,3,0,0,4,4,0,0.0,0,5,9,0,0.0,0
1,1.818,3,3,1.818,0,0,0,1,0,2,0,0,5,5,0,0.0,0,5,5,0,0.0,0
1,2.727,1,1,3.555,0,0,1,1,0,1,0,0,6,6,4,5.625,0,6,10,3,5.167,0
1,3.918,1,1,2.727,0,0,0,1,0,2,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,3.918,1,2,3.364,0,0,1,1,0,1,0,0,6,6,6,7.167,0,6,7,6,7.5,1
0,3.918,2,3,5.591,0,1,0,1,0,3,0,0,6,7,0,0.0,0,5,5,0,0.0,0
1,3.636,3,3,3.345,0,0,1,1,1,2,0,18,23,23,20,6.75,18,23,23,20,6.75,1
1,3.455,1,2,3.236,0,0,1,1,0,1,0,0,7,7,7,6.222,0,8,11,7,5.674,1
1,4.545,2,2,3.436,0,0,1,1,0,2,0,0,5,7,3,5.333,0,5,7,3,5.667,0
1,4.545,2,2,3.755,0,0,1,1,1,1,0,1,6,6,6,6.333,1,6,6,5,6.2,1
0,2.727,3,3,5.973,0,0,1,1,0,2,0,0,5,5,5,6.6,0,5,6,5,7.417,1
1,3.636,1,3,3.5,0,0,1,1,0,1,0,7,12,20,10,6.35,5,12,14,11,6.091,1
1,0.909,3,3,7.273,0,0,1,1,0,3,0,0,5,6,5,7.417,0,5,5,5,7.4,1
1,3.918,3,3,0.909,0,0,0,1,0,3,0,4,10,10,4,5.75,1,7,8,1,6.0,0
1,1.818,2,2,1.564,0,0,1,1,0,3,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,5.182,2,1,4.482,0,0,1,1,0,1,0,0,5,0,0,0.0,0,5,0,0,0.0,0
1,4.273,1,3,2.936,0,0,1,1,1,1,0,0,6,7,6,7.357,0,6,6,6,6.25,1
0,2.727,1,1,3.5,0,1,0,1,0,2,0,2,8,13,4,5.25,5,10,16,7,5.214,0
1,3.918,3,3,5.455,0,0,1,1,0,2,0,0,6,10,6,7.5,0,6,11,5,6.25,1
1,4.727,1,2,4.191,0,1,1,1,1,1,0,0,6,6,6,6.333,0,6,6,6,7.0,1
1,0.909,3,3,3.455,0,0,1,1,0,2,0,0,6,7,6,6.583,0,6,6,6,6.833,1
1,5.364,2,3,6.191,0,0,1,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
0,1.818,3,1,1.7,0,0,1,0,0,3,0,0,6,6,6,6.5,0,6,6,6,6.25,1
1,3.918,1,2,1.818,0,0,1,1,1,2,1,0,0,0,0,0.0,0,0,0,0,0.0,0
1,3.918,3,3,2.727,1,1,1,0,0,3,0,0,6,13,2,5.0,0,6,10,1,7.5,0
1,5.455,1,1,5.455,0,0,1,0,0,1,1,2,6,7,6,6.667,1,6,16,5,6.688,1
0,3.918,3,3,2.091,0,0,1,0,0,3,0,0,6,13,3,6.167,0,6,6,6,6.667,1
1,2.818,2,3,2.6,0,0,1,0,0,2,0,14,21,23,20,6.591,10,14,18,14,5.821,1
1,3.918,1,1,5.345,0,0,1,0,1,2,0,0,7,7,6,6.257,0,8,9,7,6.536,1
1,2.909,3,3,2.755,0,0,1,0,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,4.818,2,2,3.364,0,0,1,0,1,1,0,0,8,8,7,6.793,0,8,8,7,6.793,1
1,3.0,2,2,2.164,0,0,1,0,0,1,0,0,7,9,7,5.578,0,8,10,8,5.713,1
0,2.727,3,3,1.636,0,0,1,1,1,3,0,1,7,9,6,5.929,1,6,7,5,6.0,1
1,2.182,2,3,3.555,0,0,1,1,1,2,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,2.182,2,3,4.173,0,0,1,1,0,2,0,9,14,14,14,7.0,7,13,13,13,6.808,1
1,5.855,2,3,5.855,0,0,0,0,0,1,1,0,6,8,5,6.0,0,6,0,0,0.0,0
1,4.182,1,1,3.864,0,0,1,0,0,1,0,0,7,8,7,6.599,0,8,8,8,6.531,1
1,6.664,2,1,6.664,0,0,1,0,0,1,1,0,6,10,6,6.75,0,6,12,6,6.0,1
1,3.273,1,1,2.955,0,0,1,0,0,1,0,0,6,6,6,6.667,0,6,8,5,6.4,0
1,4.273,1,1,3.8,0,0,1,0,1,1,0,0,6,7,6,6.083,0,6,9,4,6.0,1
1,4.455,2,1,4.091,0,0,1,0,1,1,0,0,8,8,7,6.107,0,8,8,7,6.107,1
1,4.727,2,3,4.7,0,0,1,0,1,1,0,0,6,8,6,6.333,0,6,6,6,6.5,1
1,3.918,3,3,3.755,0,0,1,0,1,1,0,0,6,7,6,6.143,0,6,6,6,6.75,1
1,3.273,3,3,3.082,0,0,1,0,1,1,0,0,6,7,6,6.5,0,6,6,6,6.5,1
1,3.727,1,1,3.282,0,0,1,0,0,1,0,0,6,8,6,6.071,0,6,6,6,5.583,1
1,3.727,1,2,3.318,0,0,1,0,1,1,0,0,7,8,7,6.938,0,8,9,7,6.543,1
1,1.636,2,1,1.573,0,0,1,0,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,3.918,1,2,0.455,0,0,1,0,1,1,0,0,6,12,6,5.833,0,6,7,0,0.0,0
